TipoCliente,idCredito,idBanco,montoExigible
Tipo03,83021,2,572.24
Tipo03,87227,2,517.74
Tipo03,103785,2,681.23
Tipo03,110463,2,572.24
Tipo03,113755,2,340.62
Tipo03,118237,2,272.5
Tipo03,136004,2,361.06
Tipo03,137382,2,393.94
Tipo03,137885,2,289.02
Tipo03,149399,2,572.24
Tipo03,161534,2,295.02
Tipo03,275360,2,532.99
Tipo03,296810,2,468.15
Tipo03,343551,2,517.68
Tipo03,360034,2,656.59
Tipo03,363720,2,517.68
Tipo03,364627,2,146.49
Tipo03,365595,2,310.61
Tipo03,370244,2,1017.51
Tipo03,374741,2,517.68
Tipo03,378110,2,142.08
Tipo03,380983,2,548.83
Tipo03,383866,2,517.68
Tipo03,392235,2,721.8
Tipo03,410307,2,1377.18
Tipo03,414198,2,202.35
Tipo03,416457,2,342.14
Tipo03,416580,2,387.69
Tipo03,420330,2,317.98
Tipo03,421069,2,893.83
Tipo03,426186,2,1090.08
Tipo03,431827,2,435.42
Tipo03,445381,2,243.39
Tipo03,447722,2,195.11
Tipo03,450599,2,430.39
Tipo03,459611,2,267.73
Tipo03,462689,2,313.97
Tipo03,466479,2,782.53
Tipo03,470886,2,782.53
Tipo03,487457,2,761.01
Tipo03,492052,2,973.54
Tipo03,599055,2,1765.53
Tipo03,15299,21,2098.54
Tipo03,17459,21,1051.42
Tipo03,29400,44,312.9
Tipo03,34278,21,927.23
Tipo03,41488,21,1721.34
Tipo03,43649,21,312.9
Tipo03,46382,21,590.68
Tipo03,51113,21,1245.9
Tipo03,65436,44,1440.86
Tipo03,72144,21,1253.36
Tipo03,124016,21,287.94
Tipo03,316510,62,344.19
Tipo03,328769,44,184.25
Tipo03,331575,44,914.99
Tipo03,343970,21,1391.39
Tipo03,347878,21,709.72
Tipo03,349056,21,1821.5
Tipo03,351575,127,463.67
Tipo03,353911,21,1072.3
Tipo03,361832,21,797.19
Tipo03,368082,21,251.59
Tipo03,375593,44,1841.34
Tipo03,379056,21,739.99
Tipo03,381730,21,443.23
Tipo03,383779,21,2133.34
Tipo03,387371,44,425.83
Tipo03,399470,21,1564.6
Tipo03,400257,44,996.67
Tipo03,405887,21,663.24
Tipo03,418436,36,474.71
Tipo03,423646,21,764.26
Tipo04,424794,21,1366.89
Tipo03,426215,21,3791.77
Tipo03,428178,21,2299.99
Tipo03,429100,44,538.17
Tipo02,437801,21,307.17
Tipo03,441558,21,8668.6
Tipo03,441639,21,565.86
Tipo03,445362,21,799.98
Tipo03,446346,21,2520.14
Tipo03,446777,44,2009.95
Tipo03,458431,21,156.44
Tipo03,461747,21,3752.01
Tipo03,466156,21,884.99
Tipo03,469570,44,996.67
Tipo03,472963,21,113.33
